step,loss
01659,5.8557
01660,5.8403
01661,5.8555
01662,5.8598
01663,5.8564
01664,5.8569
01665,5.8542
01666,5.8637
01667,5.8521
01668,5.8498
01669,5.8473
01670,5.8528
01671,5.8599
01672,5.8584
01673,5.8599
01674,5.8536
01675,5.8507
01676,5.8535
01677,5.8660
01678,5.8557
01679,5.8502
01680,5.8486
01681,5.8550
01682,5.8586
01683,5.8656
01684,5.8564
01685,5.8547
01686,5.8523
01687,5.8587
01688,5.8644
01689,5.8633
01690,5.8786
01691,5.8656
01692,5.8720
01693,5.8680
01694,5.8633
01695,5.8608
01696,5.8511
01697,5.8616
01698,5.8466
01699,5.8512
01700,5.8550
01701,5.8547
01702,5.8530
01703,5.8574
01704,5.8501
01705,5.8485
01706,5.8492
01707,5.8538
01708,5.8578
01709,5.8502
01710,5.8515
01711,5.8502
01712,5.8464
01713,5.8553
01714,5.8664
01715,5.8697
01716,5.8567
01717,5.8617
01718,5.8494
01719,5.8524
01720,5.8514
01721,5.8554
01722,5.8524
01723,5.8589
01724,5.8588
01725,5.8610
01726,5.8692
01727,5.8718
01728,5.8610
01729,5.8608
01730,5.8654
01731,5.8601
01732,5.8611
01733,5.8575
01734,5.8581
01735,5.8665
01736,5.8500
01737,5.8583
01738,5.8567
01739,5.8569
01740,5.8511
01741,5.8532
01742,5.8550
01743,5.8555
